text,category
Streetlight out for a week on Maple Ave.,Electrical
Streetlight out for a week on Pine Ln.,Electrical
Trash piling up near Cedar Blvd bins.,Garbage
Sewage backup smelling awful on Oak Dr.,Water & Sanitation
Sinkhole forming in the middle of Maple Ave.,Road Damage
Sewage backup smelling awful on Main St.,Water & Sanitation
Illegal dumping of construction waste on Pine Ln.,Garbage
Trash piling up near Maple Ave bins.,Garbage
Fallen tree blocking Oak Dr.,Public Safety
Sinkhole forming in the middle of Maple Ave.,Road Damage
Trash piling up near Maple Ave bins.,Garbage
Suspicious activity near the park on Elm St.,Public Safety
Suspicious activity near the park on Maple Ave.,Public Safety
The road is cracking near Elm St intersection.,Road Damage
Dead animal needs removal from Maple Ave.,Garbage
"Massive pothole on Elm St, damaging cars.",Road Damage
Sinkhole forming in the middle of Oak Dr.,Road Damage
No running water for 3 days on Pine Ln.,Water & Sanitation
No running water for 3 days on Cedar Blvd.,Water & Sanitation
No running water for 3 days on Maple Ave.,Water & Sanitation
Suspicious activity near the park on Pine Ln.,Public Safety
No running water for 3 days on Cedar Blvd.,Water & Sanitation
Missing stop sign at Pine Ln.,Public Safety
Missing stop sign at Elm St.,Public Safety
"Massive pothole on Pine Ln, damaging cars.",Road Damage
Streetlight out for a week on Oak Dr.,Electrical
Dead animal needs removal from Cedar Blvd.,Garbage
Trash piling up near Oak Dr bins.,Garbage
The road is cracking near Main St intersection.,Road Damage
Fallen tree blocking Oak Dr.,Public Safety
No running water for 3 days on Maple Ave.,Water & Sanitation
Fallen tree blocking Oak Dr.,Public Safety
Streetlight out for a week on Elm St.,Electrical
Trash piling up near Pine Ln bins.,Garbage
No running water for 3 days on Maple Ave.,Water & Sanitation
Traffic light stuck on red at Main St.,Electrical
Suspicious activity near the park on Oak Dr.,Public Safety
The road is cracking near Pine Ln intersection.,Road Damage
No running water for 3 days on Cedar Blvd.,Water & Sanitation
Suspicious activity near the park on Cedar Blvd.,Public Safety
Missing stop sign at Oak Dr.,Public Safety
Fallen tree blocking Oak Dr.,Public Safety
Traffic light stuck on red at Cedar Blvd.,Electrical
No running water for 3 days on Cedar Blvd.,Water & Sanitation
"Massive pothole on Pine Ln, damaging cars.",Road Damage
Missing stop sign at Main St.,Public Safety
Sewage backup smelling awful on Maple Ave.,Water & Sanitation
Water pipe burst flooding Maple Ave.,Water & Sanitation
Trash piling up near Oak Dr bins.,Garbage
Traffic light stuck on red at Pine Ln.,Electrical
Trash piling up near Maple Ave bins.,Garbage
Streetlight out for a week on Elm St.,Electrical
The road is cracking near Elm St intersection.,Road Damage
Suspicious activity near the park on Elm St.,Public Safety
"Massive pothole on Pine Ln, damaging cars.",Road Damage
No running water for 3 days on Main St.,Water & Sanitation
Streetlight out for a week on Elm St.,Electrical
Missing stop sign at Cedar Blvd.,Public Safety
The road is cracking near Main St intersection.,Road Damage
Illegal dumping of construction waste on Elm St.,Garbage
Streetlight out for a week on Cedar Blvd.,Electrical
Dead animal needs removal from Pine Ln.,Garbage
Suspicious activity near the park on Main St.,Public Safety
Sewage backup smelling awful on Elm St.,Water & Sanitation
"Massive pothole on Elm St, damaging cars.",Road Damage
Streetlight out for a week on Oak Dr.,Electrical
No running water for 3 days on Cedar Blvd.,Water & Sanitation
Missing stop sign at Oak Dr.,Public Safety
Dead animal needs removal from Pine Ln.,Garbage
Fallen tree blocking Cedar Blvd.,Public Safety
Streetlight out for a week on Maple Ave.,Electrical
Missing stop sign at Cedar Blvd.,Public Safety
Sinkhole forming in the middle of Pine Ln.,Road Damage
Dead animal needs removal from Oak Dr.,Garbage
Sewage backup smelling awful on Elm St.,Water & Sanitation
Sparking wire dangling over Pine Ln.,Electrical
Sparking wire dangling over Cedar Blvd.,Electrical
Sewage backup smelling awful on Main St.,Water & Sanitation
Missing stop sign at Cedar Blvd.,Public Safety
Sparking wire dangling over Maple Ave.,Electrical
Illegal dumping of construction waste on Pine Ln.,Garbage
Missing stop sign at Oak Dr.,Public Safety
Fallen tree blocking Elm St.,Public Safety
Illegal dumping of construction waste on Pine Ln.,Garbage
Traffic light stuck on red at Maple Ave.,Electrical
Traffic light stuck on red at Elm St.,Electrical
No running water for 3 days on Oak Dr.,Water & Sanitation
Fallen tree blocking Elm St.,Public Safety
The road is cracking near Main St intersection.,Road Damage
"Massive pothole on Pine Ln, damaging cars.",Road Damage
No running water for 3 days on Main St.,Water & Sanitation
"Massive pothole on Maple Ave, damaging cars.",Road Damage
The road is cracking near Oak Dr intersection.,Road Damage
The road is cracking near Cedar Blvd intersection.,Road Damage
"Massive pothole on Main St, damaging cars.",Road Damage
Suspicious activity near the park on Oak Dr.,Public Safety
Illegal dumping of construction waste on Pine Ln.,Garbage
Illegal dumping of construction waste on Maple Ave.,Garbage
Water pipe burst flooding Elm St.,Water & Sanitation
Sinkhole forming in the middle of Oak Dr.,Road Damage
The road is cracking near Pine Ln intersection.,Road Damage
Dead animal needs removal from Maple Ave.,Garbage
Suspicious activity near the park on Maple Ave.,Public Safety
Missing stop sign at Maple Ave.,Public Safety
The road is cracking near Cedar Blvd intersection.,Road Damage
Illegal dumping of construction waste on Main St.,Garbage
Sparking wire dangling over Elm St.,Electrical
Dead animal needs removal from Pine Ln.,Garbage
Streetlight out for a week on Oak Dr.,Electrical
Water pipe burst flooding Elm St.,Water & Sanitation
No running water for 3 days on Maple Ave.,Water & Sanitation
No running water for 3 days on Cedar Blvd.,Water & Sanitation
Fallen tree blocking Maple Ave.,Public Safety
Sewage backup smelling awful on Cedar Blvd.,Water & Sanitation
Dead animal needs removal from Main St.,Garbage
Sinkhole forming in the middle of Cedar Blvd.,Road Damage
Sinkhole forming in the middle of Maple Ave.,Road Damage
Traffic light stuck on red at Main St.,Electrical
Traffic light stuck on red at Oak Dr.,Electrical
Sparking wire dangling over Pine Ln.,Electrical
Illegal dumping of construction waste on Pine Ln.,Garbage
Fallen tree blocking Cedar Blvd.,Public Safety
Sparking wire dangling over Main St.,Electrical
Sewage backup smelling awful on Elm St.,Water & Sanitation
Sewage backup smelling awful on Maple Ave.,Water & Sanitation
No running water for 3 days on Pine Ln.,Water & Sanitation
Streetlight out for a week on Cedar Blvd.,Electrical
Sparking wire dangling over Maple Ave.,Electrical
Water pipe burst flooding Oak Dr.,Water & Sanitation
Trash piling up near Oak Dr bins.,Garbage
Dead animal needs removal from Oak Dr.,Garbage
Sparking wire dangling over Maple Ave.,Electrical
Water pipe burst flooding Maple Ave.,Water & Sanitation
